Time|s,zon.T|degC
444600,21.922297
445500,21.914179
446400,21.906061
447300,21.899622
448200,21.895655
449100,21.893885
450000,21.893091
450900,21.891962
451800,21.89004
452700,21.88769
453600,21.885279
454500,21.883234
455400,21.881891
456300,21.88119
457200,21.880823
458100,21.88006
459000,21.878046
459900,21.875086
460800,21.872522
461700,21.872278
462600,21.8753
463500,21.88122
464400,21.88894
465300,21.89712
466200,21.90536
467100,21.913996
468000,21.92367
468900,21.9349
469800,21.947474
470700,21.96084
471600,21.974665
472500,21.988367
473290.8,21.999994
473290.8,21.999994
473400,21.991999
474300,21.566431
475200,21.053247
476100,20.661707
477000,20.390558
477900,20.20785
478800,20.085749
479700,20.005213
479774.1,19.999994
479774.1,19.999994
480600,20.231653
481500,20.753809
482400,21.200434
483300,21.507654
484200,21.703852
485100,21.825647
486000,21.900476
486900,21.946344
487800,21.974543
488700,21.991907
489351.34,21.999994
489351.34,21.999994
489600,21.957453
490500,21.473475
491400,20.961542
492300,20.5729
493200,20.300592
494100,20.115046
494903.94,19.999994
494903.94,19.999994
495000,19.99322
495900,20.282892
496800,20.774866
497700,21.169641
498600,21.43255
499500,21.595087
500400,21.691706
501300,21.74798
502200,21.781641
503100,21.802485
504000,21.815027
504900,21.820337
505800,21.818598
506700,21.812006
507600,21.804377
508500,21.799433
509400,21.797113
510300,21.796381
511200,21.796564
512100,21.797235
513000,21.798182
513900,21.79922
514800,21.800196
515700,21.800287
516600,21.797724
517500,21.79217
518400,21.785486
519300,21.779902
520200,21.776117
521100,21.773462
522000,21.771082
522900,21.768152
523800,21.764704
524700,21.760859
525600,21.756708
526500,21.752222
527400,21.747492
528300,21.742579
529200,21.737543
530100,21.732447
531000,21.727228
531900,21.72198
532800,21.71667
533700,21.711359
534600,21.706171
535500,21.701075
536400,21.695978
537300,21.690485
538200,21.684015
539100,21.676538
540000,21.66842
540900,21.660334
541800,21.652674
542700,21.645716
543600,21.63943
544500,21.634119
545400,21.630762
546300,21.630274
547200,21.633173
548100,21.64004
549000,21.651545
549900,21.667048
550800,21.684626
551700,21.702204
552600,21.719538
553500,21.737024
554400,21.754816
555300,21.772943
556200,21.791407
557100,21.810053
558000,21.828485
558900,21.845911
559800,21.861048
560700,21.873835
561600,21.885828
562500,21.899134
563400,21.91421
564300,21.930475
565200,21.947107
566100,21.963312
567000,21.979029
567900,21.99383
568302.56,21.999994
568302.56,21.999994
568800,21.856134
569700,21.332605
570600,20.862482
571500,20.522638
572400,20.291712
573300,20.137506
574200,20.034174
574594.3,19.999994
574594.3,19.999994
575100,20.079706
576000,20.551844
576900,21.031824
577800,21.37475
578700,21.592005
579600,21.722498
580500,21.799646
581400,21.845148
582300,21.871637
583200,21.886164
584100,21.892206
585000,21.89181
585900,21.88714
586800,21.88061
587700,21.874414
588600,21.870264
589500,21.867975
590400,21.866022
591300,21.862726
592200,21.85769
593100,21.851435
594000,21.84463
594900,21.837915
595800,21.831507
596700,21.825586
597600,21.820276
598500,21.816126
599400,21.814112
600300,21.814142
601200,21.814692
602100,21.81399
603000,21.811731
603900,21.808252
604800,21.803766
605700,21.798151
606600,21.79107
607500,21.783014
608400,21.775324
609300,21.769281
610200,21.764734
611100,21.76098
612000,21.757685
612900,21.754694
613800,21.751856
614700,21.74917
615600,21.746515
616500,21.743921
617400,21.741327
618300,21.738764
619200,21.73617
620100,21.73324
621000,21.72912
621900,21.723871
622800,21.718348
623700,21.713617
624600,21.709711
625500,21.706293
626400,21.70312
627300,21.70016
628200,21.69726
629100,21.694422
630000,21.691645
630900,21.68896
631800,21.6867
632700,21.685602
633600,21.6867
634500,21.691584
635400,21.702387
636300,21.719324
637200,21.739618
638100,21.760279
639000,21.780909
639900,21.801752
640800,21.822412
641700,21.842615
642600,21.862146
643500,21.881006
644400,21.899195
645300,21.916437
646200,21.93249
647100,21.947565
648000,21.962458
648900,21.97851
649800,21.996454
649968.75,21.999994
649968.75,21.999994
650700,21.736353
651600,21.213617
652500,20.786402
653400,20.487665
654300,20.289698
655200,20.161432
656100,20.079096
657000,20.02624
657652.75,19.999994
657652.75,19.999994
657900,20.020899
658800,20.442102
659700,20.9732
660600,21.379877
661500,21.650324
662400,21.82107
663300,21.926386
664200,21.990046
664395.2,21.999994
664395.2,21.999994
665100,21.763727
666000,21.2438
666900,20.808985
667800,20.499567
668700,20.28988
669600,20.149714
670500,20.055628
671258.6,19.999994
671258.6,19.999994
671400,20.001032
672300,20.353754
673200,20.874292
674100,21.285364
675000,21.561975
675900,21.73849
676800,21.849268
677700,21.918573
678600,21.962336
679500,21.990534
679910.44,21.999994
679910.44,21.999994
680400,21.86236
681300,21.34167
682200,20.870356
683100,20.528131
684000,20.294916
684900,20.139643
685800,20.037378
686252.4,19.999994
686252.4,19.999994
686700,20.062006
687600,20.524622
688500,21.016108
689400,21.374475
690300,21.60702
691200,21.751581
692100,21.840693
693000,21.895594
693900,21.92959
694800,21.950891
695700,21.964502
696600,21.973413
697500,21.979517
698400,21.983942
699300,21.987635
700200,21.991907
701100,21.997065
701595.94,21.999994
701595.94,21.999994
702000,21.896143
702900,21.37765
703800,20.889612
704700,20.532618
705600,20.288935
706500,20.126245
707400,20.017756
707588.6,19.999994
707588.6,19.999994
708300,20.160334
709200,20.659815
710100,21.111536
711000,21.427698
711900,21.631128
712800,21.75796
713700,21.83645
714600,21.885828
715500,21.917871
716400,21.939417
717300,21.953974
718200,21.963251
719100,21.969202
720000,21.974329
720900,21.981195
721800,21.991388
722397.6,21.999994
722397.6,21.999994
722700,21.941004
723600,21.453608
724500,20.965448
725400,20.60763
726300,20.367426
727200,20.212305
728100,20.114191
729000,20.052698
729900,20.014673
730423.8,19.999994
730423.8,19.999994
730800,20.057184
731700,20.533533
732600,21.0646
733500,21.465265
734400,21.73623
735300,21.913538
735930.06,21.999994
735930.06,21.999994
736200,21.978174
737100,21.562769
738000,21.110804
738900,20.773767
739800,20.546625
740700,20.399775
741600,20.306208
742500,20.246058
743400,20.207148
744300,20.181665
745200,20.164515
746100,20.152369
747000,20.143122
747900,20.135523
748800,20.128717
749700,20.121363
750600,20.11062
751500,20.096186
752400,20.081049
753300,20.068415
754200,20.05807
755100,20.048975
756000,20.040644
756900,20.0328
757800,20.025232
758700,20.017847
759600,20.010614
760500,20.004084
761397.94,19.999994
761397.94,19.999994
761400,19.999994
762300,20.316462
763200,20.87234
764100,21.328302
765000,21.638178
765900,21.835474
766800,21.958063
767245.25,21.999994
767245.25,21.999994
767700,21.903955
768600,21.421442
769500,20.966486
770400,20.632746
771300,20.404291
772200,20.251276
773100,20.148829
774000,20.07937
774900,20.03103
775684.2,19.999994
775684.2,19.999994
775800,20.002344
776700,20.358698
777600,20.892542
778500,21.316797
779400,21.602839
780300,21.785059
781200,21.899042
782100,21.97027
782646.75,21.999994
782646.75,21.999994
783000,21.93133
783900,21.446955
784800,20.968897
785700,20.616022
786600,20.375757
787500,20.217127
788400,20.113459
789300,20.045465
790200,20.000513
790212.44,19.999994
790212.44,19.999994
791100,20.282526
792000,20.81811
792900,21.263605
793800,21.568872
794700,21.76449
795600,21.886347
796500,21.960657
797286.44,21.999994
797286.44,21.999994
797400,21.993921
798300,21.578363
799200,21.066523
800100,20.671045
801000,20.395288
801900,20.20901
802800,20.083918
803691.2,19.999994
803691.2,19.999994
803700,19.999353
804600,20.267908
805500,20.784388
806400,21.213984
807300,21.51031
808200,21.70434
809100,21.831018
810000,21.915125
810900,21.972437
811473.3,21.999994
811473.3,21.999994
811800,21.940393
812700,21.464106
813600,20.98971
814500,20.642786
815400,20.4107
816300,20.261805
817200,20.169031
818100,20.11291
819000,20.079767
819900,20.060968
820800,20.051294
821700,20.047663
822600,20.047968
823500,20.050653
824400,20.054651
825300,20.058893
826200,20.061945
827100,20.063318
828000,20.063562
828900,20.063745
829800,20.064386
830700,20.06515
831600,20.06515
832500,20.06341
833400,20.059534
834300,20.0534
835200,20.044886
836100,20.034143
837000,20.021631
837900,20.007837
838386.94,19.999994
838386.94,19.999994
838800,20.069696
839700,20.55163
840600,21.066492
841500,21.44253
842400,21.686213
843300,21.836512
844200,21.926783
845100,21.979822
845636.56,21.999994
845636.56,21.999994
846000,21.92196
846900,21.423517
847800,20.937311
848700,20.578638
849600,20.332788
850500,20.167322
851400,20.055017
852001.9,19.999994
852001.9,19.999994
852300,20.019373
853200,20.427423
854100,20.929346
855000,21.314417
855900,21.575098
856800,21.74325
857700,21.847315
