Time|s,weaBus.TDryBul|degC,weaBus.HGloHor|W/m2
430200,-9.449987,0
431100,-9.725012,0
432000,-10.000006,0
432900,-10.275,0
433800,-10.5499935,0
434700,-10.824987,0
435600,-11.100012,0
436500,-11.221319,0
437400,-11.148535,0
438300,-11.051458,0
439200,-11.100012,0
440100,-11.309362,0
441000,-11.571997,0
441900,-11.873663,0
442800,-12.199987,0
443700,-12.617224,0
444600,-13.120367,0
445500,-13.588324,0
446400,-13.9,0
447300,-13.990545,0
448200,-13.948309,0
449100,-13.881903,0
450000,-13.9,0
450900,-14.019659,0
451800,-14.16419,0
452700,-14.301641,0
453600,-14.4,0
454500,-14.4319515,0
455400,-14.417059,0
456300,-14.393621,0.60704786
457200,-14.4,3.4521277
458100,-14.528265,10.071143
459000,-14.75794,22
459900,-14.958654,41.154552
460800,-15.000006,66.64973
461700,-14.8155575,95.82004
462600,-14.498297,126
463500,-14.156897,157.1422
464400,-13.9,189.99957
465300,-13.757452,223.10716
466200,-13.648291,255
467100,-13.51499,283.02606
468000,-13.2999935,305.2724
468900,-13.025,321.3825
469800,-12.750006,331
470700,-12.475012,316.165
471600,-12.199987,274.6043
472500,-11.9249935,229.49146
473400,-11.65,204
474300,-11.375006,206.45967
475200,-11.100012,221.09866
476100,-11.0439205,234.93834
477000,-11.275427,235
477900,-11.56922,213.84581
478800,-11.699987,181.15906
479700,-11.567907,149.64279
480600,-11.323614,132
481500,-11.117498,133.71767
482400,-11.100012,144.63547
483300,-11.238958,153.98555
484200,-11.393621,151
485100,-11.551489,137.76692
486000,-11.699987,123.537766
486900,-11.8259945,108.289734
487800,-11.937994,92
488700,-12.0560055,73.48154
489600,-12.199987,53.352272
490500,-12.570623,34.296875
491400,-13.208014,19
492300,-13.891394,8.987216
493200,-14.4,3.2386363
494100,-14.71958,0.6207386
495000,-15.004583,0
495900,-15.287298,0
496800,-15.600012,0
497700,-15.979681,0
498600,-16.407324,0
499500,-16.831305,0
500400,-17.200003,0
501300,-17.349447,0
502200,-17.274725,0
503100,-17.162634,0
504000,-17.200003,0
504900,-17.585836,0
505800,-18.196203,0
506700,-18.73348,0
507600,-18.9,0
508500,-18.765203,0
509400,-18.608603,0
510300,-18.447699,0
511200,-18.299994,0
512100,-18.162985,0
513000,-18.028204,0
513900,-17.904333,0
514800,-17.799994,0
515700,-17.908041,0
516600,-18.27143,0
517500,-18.674109,0
518400,-18.9,0
519300,-18.91535,0
520200,-18.875448,0
521100,-18.84783,0
522000,-18.9,0
522900,-19.014456,0
523800,-19.132284,0
524700,-19.258978,0
525600,-19.4,0
526500,-19.549994,0
527400,-19.700003,0
528300,-19.849997,0
529200,-20.000006,0
530100,-20.15,0
531000,-20.299994,0
531900,-20.450003,0
532800,-20.599997,0
533700,-20.73438,0
534600,-20.849997,0
535500,-20.965628,0
536400,-21.099997,0
537300,-21.310797,0
538200,-21.603811,0
539100,-21.919897,0
540000,-22.200003,0
540900,-22.416204,0
541800,-22.584143,0
542700,-22.710012,1.3445184
543600,-22.799994,6.002049
544500,-22.784567,14.908555
545400,-22.593084,29
546300,-22.230062,49.640476
547200,-21.700003,76.295364
548100,-20.937628,107.052574
549000,-19.995749,140
549900,-19.05599,175.01057
550800,-18.299994,211.87305
551700,-17.710165,248.54898
552600,-17.147345,283
553500,-16.610846,314.28427
554400,-16.100012,342.849
555300,-15.608892,368.7392
556200,-15.146948,392
557100,-14.736547,411.43948
558000,-14.4,426.29416
558900,-14.273748,437.25174
559800,-14.3555355,445
560700,-14.459539,449.6663
561600,-14.4,450.82065
562500,-14.15061,448.3147
563400,-13.846594,442
564300,-13.544256,432.26556
565200,-13.2999935,419.22668
566100,-13.094641,402.32446
567000,-12.907141,381
567900,-12.791082,356.08417
568800,-12.7999935,328.863
569700,-12.903112,299.46036
570600,-13.027349,268
571500,-13.162909,233.4005
572400,-13.2999935,196.18259
573300,-13.436926,158.87338
574200,-13.580542,124
575100,-13.733892,92.299995
576000,-13.9,63.9464
576900,-14.284399,40.619606
577800,-14.934851,24
578700,-15.617865,13.1029415
579600,-16.100012,5.647059
580500,-16.313086,1.367647
581400,-16.414434,0
582300,-16.50852,0
583200,-16.699987,0
584100,-17.065405,0
585000,-17.532736,0
585900,-17.98371,0
586800,-18.299994,0
587700,-18.378576,0
588600,-18.299994,0
589500,-18.221426,0
590400,-18.299994,0
591300,-18.549383,0
592200,-18.847158,0
593100,-19.146353,0
594000,-19.4,0
594900,-19.603231,0
595800,-19.776724,0
596700,-19.911856,0
597600,-20.000006,0
598500,-19.929419,0
599400,-19.700003,0
600300,-19.470587,0
601200,-19.4,0
602100,-19.488134,0
603000,-19.623266,0
603900,-19.796774,0
604800,-20.000006,0
605700,-20.292929,0
606600,-20.657614,0
607500,-20.968481,0
608400,-21.099997,0
609300,-21.099997,0
610200,-21.099997,0
611100,-21.099997,0
612000,-21.099997,0
612900,-21.099997,0
613800,-21.099997,0
614700,-21.099997,0
615600,-21.099997,0
616500,-21.099997,0
617400,-21.099997,0
618300,-21.099997,0
619200,-21.099997,0
620100,-21.193747,0
621000,-21.4,0
621900,-21.606253,0
622800,-21.700003,0
623700,-21.700003,0
624600,-21.700003,0
625500,-21.700003,0
626400,-21.700003,0
627300,-21.700003,0
628200,-21.700003,0
629100,-21.700003,0
630000,-21.700003,1.4726562
630900,-21.68897,9.812988
631800,-21.62058,29
632700,-21.441916,55.7775
633600,-21.099997,83.68531
634500,-20.387457,112.250465
635400,-19.316076,141
636300,-18.161657,169.733
637200,-17.200003,198.5206
638100,-16.429296,227.29791
639000,-15.684759,256
639900,-14.9978695,284.09866
640800,-14.4,311.20358
641700,-13.894079,337.4567
642600,-13.460394,363
643500,-13.096502,384.6893
644400,-12.7999935,400.1024
645300,-12.609503,410.4643
646200,-12.505682,417
647100,-12.398993,420.15
648000,-12.199987,419.7024
648900,-11.823431,415.90356
649800,-11.3375,409
650700,-10.882818,399.70712
651600,-10.600012,388.25952
652500,-10.449987,374.18213
653400,-10.2999935,357
654300,-10.15,336.77997
655200,-10.000006,313.8894
656100,-9.850012,288.30417
657000,-9.699987,260
657900,-9.5499935,227.70573
658800,-9.4,192.13698
659700,-9.30155,156.24974
660600,-9.287512,123
661500,-9.329687,92.61021
662400,-9.4,64.656204
663300,-9.535925,41.1241
664200,-9.7374935,24
665100,-9.920324,12.792338
666000,-10.000006,5.370968
666900,-10.000006,1.264113
667800,-10.000006,0
668700,-10.000006,0
669600,-10.000006,0
670500,-10.000006,0
671400,-10.000006,0
672300,-10.000006,0
673200,-10.000006,0
674100,-9.931829,0
675000,-9.768194,0
675900,-9.57044,0
676800,-9.4,0
677700,-9.2652645,0
678600,-9.135382,0
679500,-9.012823,0
680400,-8.9,0
681300,-8.847998,0
682200,-8.868475,0
683100,-8.90473,0
684000,-8.9,0
684900,-8.781439,0
685800,-8.577948,0
686700,-8.385473,0
687600,-8.2999935,0
688500,-8.3937435,0
689400,-8.600012,0
690300,-8.80625,0
691200,-8.9,0
692100,-8.9,0
693000,-8.9,0
693900,-8.9,0
694800,-8.9,0
695700,-8.9,0
696600,-8.9,0
697500,-8.9,0
698400,-8.9,0
699300,-8.80625,0
700200,-8.600012,0
701100,-8.3937435,0
702000,-8.2999935,0
702900,-8.2999935,0
703800,-8.2999935,0
704700,-8.2999935,0
705600,-8.2999935,0
706500,-8.2999935,0
707400,-8.2999935,0
708300,-8.2999935,0
709200,-8.2999935,0
710100,-8.2999935,0
711000,-8.2999935,0
711900,-8.2999935,0
712800,-8.2999935,0
713700,-8.2409725,0
714600,-8.100927,0
715500,-7.935431,1.2455357
716400,-7.799994,4.821429
717300,-7.7942567,10.486608
718200,-7.8865724,18
719100,-7.9355836,29.448109
720000,-7.799994,46.171146
720900,-7.386267,66.80861
721800,-6.7883973,90
