Time|s,walCap.T|degC,zon.T|degC
287100,18.353449,18.361353
288000,18.347437,18.35531
288900,18.341425,18.349268
289800,18.335505,18.343287
290700,18.329584,18.337336
291600,18.323725,18.331415
292500,18.317926,18.325556
293400,18.312159,18.319727
294300,18.306421,18.313929
295200,18.300745,18.308191
296100,18.295038,18.302485
297000,18.289331,18.296778
297900,18.283655,18.29107
298800,18.27801,18.285395
299700,18.272364,18.279749
300600,18.26681,18.274103
301500,18.261225,18.268518
302400,18.255732,18.262964
303300,18.250238,18.25741
304200,18.244776,18.251917
305100,18.239344,18.246454
306000,18.233973,18.241022
306900,18.228632,18.235651
307800,18.223291,18.23028
308700,18.21792,18.224909
309600,18.21255,18.219538
310500,18.207117,18.214136
311400,18.201654,18.208704
312300,18.196161,18.203241
313200,18.190638,18.197748
314100,18.185114,18.192255
315000,18.17962,18.186762
315900,18.174067,18.181238
316800,18.168482,18.175684
317700,18.162867,18.1701
318600,18.15713,18.164484
319500,18.15124,18.158716
320400,18.145288,18.152887
321300,18.139246,18.146967
322200,18.133112,18.140985
323100,18.126917,18.134882
324000,18.12066,18.128717
324900,18.114313,18.122461
325800,18.107874,18.116144
326700,18.101374,18.109735
327600,18.094812,18.103266
328500,18.08819,18.096735
329400,18.081568,18.090143
330300,18.074945,18.083551
331200,18.068323,18.07693
332100,18.061762,18.070337
333000,18.055231,18.063745
333900,18.048792,18.057245
334800,18.042353,18.050776
335700,18.035883,18.044306
336600,18.029413,18.037806
337500,18.022882,18.031305
338400,18.01626,18.024775
339300,18.009577,18.018152
340200,18.002863,18.0115
341100,17.996058,18.004816
342000,17.989191,17.998041
342900,17.982233,17.991175
343800,17.975214,17.984247
344700,17.968134,17.977259
345600,17.960962,17.97021
346500,17.95376,17.963068
347400,17.946527,17.955896
348300,17.939325,17.948725
349200,17.932123,17.941523
350100,17.924952,17.93432
351000,17.917841,17.927149
351900,17.91076,17.920038
352800,17.903711,17.912928
353700,17.896662,17.905848
354600,17.889582,17.898767
355500,17.88244,17.891657
356400,17.875238,17.884516
357300,17.867975,17.877314
358200,17.86062,17.87005
359100,17.853174,17.862726
360000,17.845575,17.85528
360900,17.837763,17.847712
361800,17.829737,17.83993
362700,17.821497,17.831964
363600,17.813013,17.823786
364500,17.804316,17.815363
365400,17.795435,17.806757
366300,17.786402,17.797937
367200,17.777216,17.788965
368100,17.76797,17.779871
369000,17.7586,17.770655
369900,17.749231,17.761347
370800,17.739954,17.752039
371700,17.731043,17.742853
372600,17.723139,17.734125
373500,17.717127,17.726343
374400,17.714106,17.720362
375300,17.714746,17.717005
376200,17.718988,17.716883
377100,17.726343,17.720057
378000,17.736658,17.726435
378900,17.74978,17.735773
379800,17.765467,17.74792
380700,17.783289,17.762629
381600,17.802698,17.779535
382500,17.823267,17.798151
383400,17.84463,17.818079
384300,17.86654,17.838953
385200,17.88891,17.860529
386100,17.911646,17.882624
387000,17.934717,17.905176
387900,17.958063,17.928095
388800,17.981653,17.951319
389700,18.005365,17.974787
390600,18.028986,17.998346
391500,18.05218,18.021845
392400,18.074549,18.044947
393300,18.095697,18.067316
394200,18.115534,18.088648
395100,18.134027,18.108759
396000,18.151178,18.127588
396900,18.166925,18.145044
397800,18.181086,18.161127
398700,18.19317,18.175592
399600,18.202112,18.187891
400500,18.207178,18.19723
401400,18.208918,18.203272
402300,18.208643,18.206324
403200,18.206995,18.207117
404100,18.204248,18.206263
405000,18.200556,18.204096
405900,18.19607,18.200891
406800,18.19079,18.196741
407700,18.184809,18.191767
408600,18.17837,18.186121
409500,18.171778,18.179987
410400,18.165094,18.173548
411300,18.158442,18.166986
412200,18.151758,18.160364
413100,18.145044,18.153711
414000,18.13827,18.147028
414900,18.131433,18.140253
415800,18.124537,18.133448
416700,18.117548,18.12655
417600,18.110468,18.119562
418500,18.103327,18.112543
419400,18.096125,18.105402
420300,18.08883,18.09823
421200,18.081446,18.090937
422100,18.073969,18.083582
423000,18.066462,18.076166
423900,18.058832,18.068659
424800,18.051172,18.06106
425700,18.043451,18.0534
426600,18.03573,18.04574
427500,18.02801,18.03802
428400,18.020288,18.030298
429300,18.012506,18.022547
430200,18.004694,18.014795
431100,17.99679,18.006952
432000,17.988825,17.999079
432900,17.980768,17.991114
433800,17.97262,17.983088
434700,17.96441,17.97497
435600,17.95611,17.966791
436500,17.94781,17.958551
437400,17.939508,17.950281
438300,17.931177,17.94201
439200,17.922876,17.93368
440100,17.914484,17.925348
441000,17.906061,17.916956
441900,17.897547,17.908503
442800,17.88894,17.900019
443700,17.880243,17.891443
444600,17.871424,17.882746
445500,17.862482,17.873957
446400,17.853418,17.865046
447300,17.844324,17.856073
448200,17.83523,17.84701
449100,17.826105,17.837915
450000,17.81698,17.828821
450900,17.807856,17.819696
451800,17.7987,17.810572
452700,17.789545,17.801416
453600,17.780329,17.79223
454500,17.771082,17.783045
455400,17.761927,17.773859
456300,17.752863,17.764734
457200,17.74389,17.75564
458100,17.735376,17.74679
459000,17.72735,17.738245
459900,17.720697,17.73031
460800,17.717157,17.723963
461700,17.717768,17.7203
462600,17.722437,17.720179
463500,17.730066,17.723597
464400,17.739954,17.729975
465300,17.751734,17.738825
466200,17.764887,17.74969
467100,17.778772,17.762018
468000,17.792566,17.775202
468900,17.805384,17.788477
469800,17.816614,17.80105
470700,17.825312,17.812159
471600,17.829859,17.820795
472500,17.829462,17.82577
473400,17.825281,17.826654
474300,17.819818,17.824305
475200,17.814478,17.820246
476100,17.809595,17.815638
477000,17.804895,17.810968
477900,17.799707,17.806208
478800,17.793512,17.800898
479700,17.78628,17.794794
480600,17.778376,17.787867
481500,17.770563,17.78042
482400,17.763605,17.772974
483300,17.757715,17.766077
484200,17.75265,17.759974
485100,17.747858,17.754541
486000,17.742975,17.749475
486900,17.73797,17.744501
487800,17.732721,17.739435
488700,17.727167,17.734156
489600,17.721247,17.728632
490500,17.71493,17.722773
491400,17.708124,17.716516
492300,17.700678,17.709772
493200,17.69259,17.702478
494100,17.683893,17.694574
495000,17.674707,17.68609
495900,17.665277,17.677149
496800,17.655725,17.667902
497700,17.646112,17.658442
498600,17.636408,17.64889
499500,17.626581,17.639215
500400,17.616663,17.62942
501300,17.606653,17.619562
502200,17.596674,17.609613
503100,17.586695,17.599665
504000,17.576715,17.589685
504900,17.566645,17.579676
505800,17.556482,17.569605
506700,17.546137,17.559412
507600,17.53573,17.549158
508500,17.525324,17.538813
509400,17.514948,17.528437
510300,17.504602,17.51806
511200,17.494287,17.507715
512100,17.484064,17.4974
513000,17.47384,17.487146
513900,17.463709,17.476923
514800,17.453577,17.46676
515700,17.443445,17.456598
516600,17.433283,17.446466
517500,17.42306,17.436304
518400,17.412745,17.42608
519300,17.4024,17.415796
520200,17.391993,17.405481
521100,17.381617,17.395105
522000,17.37121,17.38473
522900,17.360773,17.374323
523800,17.350306,17.363886
524700,17.339838,17.353418
525600,17.32931,17.34295
526500,17.31878,17.332422
527400,17.30816,17.321894
528300,17.29754,17.311304
529200,17.28689,17.300684
530100,17.276178,17.290033
531000,17.265406,17.279322
531900,17.254633,17.26861
532800,17.2438,17.257837
533700,17.232935,17.247034
534600,17.22204,17.23617
535500,17.211115,17.225275
536400,17.200129,17.21435
537300,17.189112,17.203394
538200,17.178034,17.192347
539100,17.166864,17.181269
540000,17.155634,17.17013
540900,17.144342,17.15893
541800,17.13299,17.147669
542700,17.121912,17.136438
543600,17.111902,17.125635
544500,17.103662,17.115747
545400,17.097742,17.107386
546300,17.094843,17.10119
547200,17.096094,17.097986
548100,17.101984,17.098566
549000,17.111994,17.103266
549900,17.124842,17.11172
550800,17.139917,17.123224
551700,17.156794,17.137232
552600,17.175043,17.153223
553500,17.194422,17.17077
554400,17.214777,17.1896
555300,17.236017,17.209497
556200,17.25796,17.230371
557100,17.28039,17.251947
558000,17.303156,17.274103
558900,17.326197,17.296656
559800,17.34936,17.319544
560700,17.372583,17.342585
561600,17.395777,17.365717
562500,17.419031,17.38891
563400,17.442286,17.412134
564300,17.465479,17.435328
565200,17.48852,17.45849
566100,17.511316,17.4815
567000,17.533808,17.504297
567900,17.555933,17.52685
568800,17.577509,17.549006
569700,17.598291,17.570612
570600,17.618189,17.591516
571500,17.636988,17.611567
572400,17.654413,17.630548
573300,17.6701,17.648188
574200,17.683619,17.664148
575100,17.69433,17.677973
576000,17.700983,17.68896
576900,17.702875,17.696222
577800,17.700495,17.699305
578700,17.695093,17.69845
579600,17.687677,17.694483
580500,17.678797,17.688196
581400,17.669184,17.680262
582300,17.659327,17.67132
583200,17.649439,17.66186
584100,17.63952,17.652155
585000,17.62948,17.642328
585900,17.619349,17.632349
586800,17.609095,17.622278
587700,17.59881,17.612085
588600,17.588495,17.601862
589500,17.57821,17.591578
590400,17.567926,17.581293
591300,17.557611,17.570978
592200,17.547174,17.560633
593100,17.536707,17.550257
594000,17.526148,17.53979
594900,17.515558,17.52926
595800,17.504908,17.518702
596700,17.494196,17.50805
597600,17.483454,17.49734
598500,17.472742,17.486658
599400,17.462091,17.475977
600300,17.451502,17.465326
601200,17.440943,17.454737
602100,17.430353,17.444117
603000,17.419733,17.433496
603900,17.409052,17.422876
604800,17.39834,17.412195
605700,17.387506,17.401453
606600,17.376612,17.39065
607500,17.365656,17.379786
608400,17.35467,17.36889
609300,17.343653,17.357935
610200,17.332636,17.346949
611100,17.321619,17.335932
612000,17.310602,17.324915
612900,17.299616,17.313898
613800,17.288599,17.302881
614700,17.277582,17.291895
615600,17.266596,17.280878
616500,17.25561,17.269861
617400,17.244593,17.258875
618300,17.233606,17.247889
619200,17.22259,17.236872
620100,17.211573,17.225855
621000,17.200495,17.214838
621900,17.189386,17.20376
622800,17.178247,17.192652
623700,17.167109,17.181543
624600,17.15597,17.170404
625500,17.14483,17.159266
626400,17.133692,17.148157
627300,17.122553,17.137018
628200,17.111444,17.12588
629100,17.100794,17.114923
630000,17.091272,17.104517
630900,17.083551,17.095087
631800,17.078058,17.087275
632700,17.075312,17.081415
633600,17.07699,17.078455
634500,17.083582,17.079432
635400,17.094141,17.08468
636300,17.106379,17.093409
637200,17.119165,17.104242
638100,17.132166,17.116175
639000,17.145472,17.128778
639900,17.159388,17.141901
640800,17.174128,17.155664
641700,17.189692,17.170252
642600,17.205957,17.185572
643500,17.222467,17.201502
644400,17.23855,17.217615
645300,17.25387,17.233545
646200,17.26864,17.248987
647100,17.283777,17.264154
648000,17.299677,17.279505
648900,17.316492,17.295435
649800,17.33401,17.312037
650700,17.351892,17.329218
651600,17.369928,17.346827
652500,17.388056,17.36474
653400,17.406275,17.382776
654300,17.424585,17.400934
655200,17.443018,17.419214
656100,17.461542,17.437586
657000,17.480158,17.45608
657900,17.49856,17.474573
658800,17.515955,17.492731
659700,17.53158,17.509974
660600,17.544916,17.52569
661500,17.555323,17.53927
662400,17.56164,17.549982
663300,17.56338,17.557001
664200,17.56106,17.5599
665100,17.556269,17.559198
666000,17.549982,17.55578
666900,17.542719,17.55047
667800,17.534906,17.54394
668700,17.526972,17.536676
669600,17.519068,17.529078
670500,17.511194,17.521326
671400,17.503382,17.513544
672300,17.495539,17.505732
673200,17.487665,17.497889
674100,17.479792,17.490046
675000,17.47198,17.482172
675900,17.464197,17.47436
676800,17.456476,17.466547
677700,17.448786,17.458826
678600,17.441156,17.451105
679500,17.433558,17.443445
680400,17.42599,17.435846
681300,17.41842,17.428247
682200,17.410852,17.42068
683100,17.403315,17.41311
684000,17.395807,17.405573
684900,17.3883,17.398066
685800,17.380854,17.390558
686700,17.373438,17.383112
687600,17.366053,17.375666
688500,17.358606,17.36822
689400,17.35116,17.360804
690300,17.343653,17.353327
691200,17.336145,17.34585
692100,17.328638,17.338373
693000,17.32113,17.330866
693900,17.313593,17.323359
694800,17.306086,17.315851
695700,17.298578,17.308344
696600,17.29107,17.300837
697500,17.283564,17.29333
698400,17.276087,17.285822
699300,17.26861,17.278345
700200,17.261194,17.270868
701100,17.25384,17.263483
702000,17.246515,17.256098
702900,17.239191,17.248743
703800,17.231867,17.241388
704700,17.224543,17.234064
705600,17.217249,17.22674
706500,17.209925,17.219446
707400,17.202631,17.212122
708300,17.195307,17.204798
709200,17.188013,17.197504
710100,17.18072,17.19021
711000,17.173426,17.182917
711900,17.166132,17.175592
712800,17.158838,17.168299
713700,17.151545,17.161005
714600,17.144312,17.153742
715500,17.13717,17.14654
716400,17.130121,17.139399
717300,17.123194,17.132318
718200,17.11648,17.125391
719100,17.110346,17.118738
720000,17.105341,17.112696
720900,17.101923,17.10769
721800,17.100092,17.103998
722700,17.099512,17.101679
723600,17.1,17.10058
724500,17.101343,17.10061
725400,17.103388,17.101587
726300,17.105738,17.103235
727200,17.107721,17.105188
728100,17.108942,17.106958
729000,17.109674,17.108301
729900,17.111109,17.109491
730800,17.113855,17.1112
731700,17.118158,17.113886
732600,17.123835,17.117853
733500,17.130396,17.12301
734400,17.137445,17.129084
735300,17.14483,17.135798
736200,17.152338,17.142908
737100,17.159754,17.150232
738000,17.166864,17.157526
738900,17.173487,17.164545
739800,17.179804,17.17129
740700,17.1867,17.177973
741600,17.194696,17.185083
742500,17.204035,17.193048
743400,17.21374,17.201899
744300,17.222193,17.21081
745200,17.229029,17.218988
746100,17.234247,17.226007
747000,17.237787,17.231562
747900,17.239527,17.235529
748800,17.239435,17.237726
749700,17.237482,17.238153
750600,17.233912,17.23681
751500,17.229273,17.233942
752400,17.224298,17.229975
753300,17.219294,17.225397
754200,17.21435,17.220606
755100,17.209406,17.215723
756000,17.204493,17.21084
756900,17.199549,17.205927
757800,17.194635,17.201014
758700,17.189692,17.19607
759600,17.184778,17.191156
760500,17.179895,17.186274
761400,17.175135,17.181421
762300,17.170496,17.17666
763200,17.165857,17.17196
764100,17.161219,17.167261
765000,17.156519,17.162592
765900,17.15182,17.157892
766800,17.147058,17.153193
767700,17.142237,17.148401
768600,17.137415,17.14364
769500,17.132563,17.138819
770400,17.12768,17.133966
771300,17.122736,17.129084
772200,17.117762,17.12417
773100,17.112757,17.119226
774000,17.10769,17.114222
774900,17.102594,17.109156
775800,17.097437,17.10409
776700,17.09228,17.098963
777600,17.087122,17.093836
778500,17.081934,17.088648
779400,17.076715,17.08349
780300,17.071527,17.078302
781200,17.06634,17.073084
782100,17.061121,17.067896
783000,17.055933,17.062708
783900,17.050714,17.05749
784800,17.045557,17.052301
785700,17.0404,17.047144
786600,17.035242,17.041956
787500,17.030146,17.036829
788400,17.02511,17.031733
789300,17.020136,17.026697
790200,17.015162,17.021662
791100,17.010218,17.016687
792000,17.005335,17.011744
792900,17.000483,17.00683
793800,16.9956,17.001917
794700,16.990747,16.997065
795600,16.985865,16.992182
796500,16.98092,16.987299
797400,16.975855,16.982325
798300,16.970606,16.977228
799200,16.965296,16.97204
800100,16.959894,16.966791
801000,16.954432,16.96145
801900,16.948969,16.956018
802800,16.94375,16.950678
803700,16.939112,16.945581
804600,16.93548,16.941065
805500,16.933619,16.937525
806400,16.9349,16.935785
807300,16.939936,16.936762
808200,16.948359,16.940882
809100,16.959345,16.948084
810000,16.972528,16.958002
810900,16.987696,16.9703
811800,17.00451,16.984644
812700,17.022669,17.000757
813600,17.041925,17.018305
814500,17.06219,17.037104
815400,17.083185,17.05691
816300,17.104761,17.077509
817200,17.126764,17.09881
818100,17.149134,17.12057
819000,17.171778,17.142756
819900,17.194574,17.165216
820800,17.217493,17.187922
821700,17.240412,17.210718
822600,17.263361,17.233606
823500,17.286188,17.256495
824400,17.308832,17.279291
825300,17.33114,17.301935
826200,17.352991,17.324244
827100,17.374262,17.346155
828000,17.39477,17.367487
828900,17.414362,17.388117
829800,17.432856,17.407862
830700,17.450037,17.426538
831600,17.46557,17.443933
832500,17.47909,17.459711
833400,17.49032,17.473627
834300,17.498804,17.485285
835200,17.503748,17.494196
836100,17.50503,17.499933
837000,17.502924,17.502192
837900,17.498865,17.501398
838800,17.494043,17.49856
839700,17.488886,17.494562
840600,17.483423,17.489862
841500,17.477777,17.484705
842400,17.47201,17.479242
843300,17.46612,17.473566
844200,17.460138,17.467768
845100,17.454035,17.461817
846000,17.44781,17.455744
846900,17.441523,17.44961
847800,17.435175,17.443354
848700,17.428766,17.437037
849600,17.422358,17.430658
850500,17.415857,17.42422
851400,17.409327,17.41775
852300,17.402704,17.411219
853200,17.39602,17.404627
854100,17.389368,17.398005
855000,17.382807,17.391413
855900,17.376398,17.384851
856800,17.37005,17.378382
857700,17.363764,17.372004
858600,17.357477,17.365656
859500,17.35113,17.359339
860400,17.344751,17.352991
861300,17.338282,17.346582
862200,17.331812,17.340143
863100,17.325281,17.333673
864000,17.31872,17.327173
864900,17.312159,17.320642
865800,17.30575,17.314173
866700,17.299433,17.307764
867600,17.293207,17.301447
868500,17.287073,17.29519
869400,17.28103,17.289026
870300,17.27505,17.282953
871200,17.26916,17.276941
872100,17.2633,17.27099
873000,17.257471,17.2651
873900,17.251673,17.259241
874800,17.245935,17.253443
875700,17.240168,17.247644
876600,17.23443,17.241907
877500,17.228693,17.23614
878400,17.222956,17.230402
879300,17.217188,17.224665
880200,17.21139,17.218897
881100,17.20553,17.213068
882000,17.19964,17.20724
882900,17.19378,17.20138
883800,17.187891,17.19552
884700,17.182001,17.18963
885600,17.17608,17.18374
886500,17.17019,17.17785
887400,17.16421,17.17187
888300,17.158197,17.165918
889200,17.152185,17.159937
890100,17.146204,17.153955
891000,17.140223,17.148005
891900,17.134272,17.142023
892800,17.128412,17.136133
893700,17.122583,17.130243
