Time|s,zon.T|degC
590000,57.917717
592000,57.993797
594000,58.069572
596000,58.14495
598000,58.220024
600000,58.294945
602000,58.369987
604000,58.445
606000,58.5198
608000,58.5942
610000,58.668236
612000,58.74212
614000,58.81591
616000,58.88967
618000,58.96337
620000,59.03704
622000,59.110558
624000,59.18386
626000,59.25701
628000,59.33013
630000,59.403618
632000,59.481743
634000,59.5711
636000,59.679497
638000,59.800407
640000,59.925835
642000,60.05477
644000,60.186974
646000,60.319054
648000,60.44973
650000,60.582756
652000,60.71853
654000,60.85537
656000,60.99282
658000,61.13067
660000,61.26644
662000,61.393883
664000,61.50521
666000,61.599052
668000,61.683098
670000,61.76333
672000,61.842552
674000,61.92153
676000,62.00045
678000,62.07949
680000,62.158684
682000,62.23797
684000,62.317314
686000,62.39663
688000,62.476067
690000,62.555504
692000,62.634758
694000,62.71386
696000,62.7929
698000,62.87188
700000,62.95083
702000,63.0299
704000,63.10903
706000,63.188164
708000,63.267265
710000,63.346306
712000,63.425316
714000,63.504295
716000,63.583305
718000,63.66262
720000,63.743248
722000,63.828545
724000,63.92022
726000,64.01687
728000,64.11553
730000,64.21276
732000,64.31225
734000,64.41772
736000,64.52688
738000,64.63732
740000,64.74682
742000,64.85619
744000,64.9696
746000,65.081474
748000,65.186485
750000,65.28307
752000,65.37139
754000,65.45565
756000,65.5389
758000,65.62188
760000,65.704735
762000,65.78765
764000,65.87084
766000,65.95406
768000,66.0371
770000,66.11993
772000,66.20251
774000,66.28484
776000,66.366905
778000,66.44872
780000,66.53039
782000,66.61196
784000,66.693474
786000,66.774925
788000,66.85644
790000,66.93807
792000,67.01983
794000,67.10171
796000,67.183556
798000,67.26516
800000,67.346245
802000,67.42684
804000,67.507774
806000,67.59182
808000,67.68655
810000,67.79629
812000,67.91772
814000,68.04751
816000,68.1831
818000,68.32226
820000,68.463554
822000,68.60592
824000,68.7485
826000,68.89034
828000,69.030235
830000,69.16662
832000,69.29757
834000,69.4201
836000,69.53002
838000,69.624016
840000,69.708305
842000,69.78872
844000,69.86761
846000,69.94564
848000,70.023094
850000,70.10012
852000,70.17684
854000,70.25323
856000,70.32958
858000,70.40627
860000,70.483086
862000,70.559715
864000,70.63613
866000,70.712425
868000,70.78893
870000,70.865715
872000,70.94283
874000,71.020195
876000,71.09774
878000,71.175285
880000,71.2528
882000,71.33019
884000,71.40737
886000,71.48446
888000,71.56139
890000,71.638145
892000,71.714836
894000,71.79156
896000,71.868675
898000,71.94747
900000,72.029686
902000,72.116325
904000,72.210045
906000,72.316246
908000,72.431114
910000,72.54943
912000,72.67083
914000,72.79534
916000,72.92315
918000,73.053795
920000,73.18261
922000,73.30215
924000,73.40554
926000,73.49514
928000,73.577415
930000,73.65734
932000,73.73678
934000,73.816185
936000,73.89559
938000,73.97503
940000,74.05453
942000,74.13387
944000,74.21285
946000,74.29159
948000,74.37011
950000,74.44836
952000,74.52639
954000,74.6043
956000,74.68215
958000,74.760124
960000,74.83837
962000,74.917046
964000,74.99612
966000,75.07531
968000,75.15444
970000,75.23327
972000,75.31173
974000,75.389885
976000,75.46844
978000,75.54943
980000,75.633385
982000,75.720146
984000,75.805534
986000,75.886284
988000,75.96517
990000,76.04366
992000,76.12194
994000,76.200035
996000,76.27801
998000,76.35601
1000000,76.4342
1000000,76.4342
