Time|s,zon.T|degC,vavDam.y
141568.88,22.999994,0
141568.88,22.999994,0
142200,23.65948,0
143100,23.069666,0
144000,22.362421,0
144900,21.853968,0
145800,21.52453,0
146700,21.316278,0
147600,21.184137,0
148500,21.09878,0
149400,21.04214,0
150300,21.00326,0
150391.4,20.999994,0
150391.4,20.999994,0
151200,22.360437,0
151421.86,22.999994,0
151421.86,22.999994,0
152100,23.649286,0
153000,23.027765,0
153900,22.327997,0
154800,21.829798,0
155700,21.507807,0
156600,21.304377,0
157500,21.175226,0
158400,21.09176,0
159300,21.036402,0
160157.36,20.999994,0
160157.36,20.999994,0
160200,21.002924,0
161100,22.743128,0
161187.84,22.999994,0
161187.84,22.999994,0
162000,23.600122,0
162900,22.913996,0
163800,22.240473,0
164700,21.772364,0
165600,21.471827,0
166500,21.28222,0
167400,21.161676,0
168300,21.08346,0
169200,21.031214,0
169957.16,20.999994,0
169957.16,20.999994,0
170100,21.047022,0
170987.67,22.999994,0
170987.67,22.999994,0
171000,23.035547,0
171900,23.546534,0
172800,22.830042,0
173700,22.177576,0
174600,21.730524,0
175500,21.444452,0
176400,21.263697,0
177300,21.148432,0
178200,21.073359,0
179100,21.023066,0
179659.17,20.999994,0
179659.17,20.999994,0
180000,21.277155,0
180689.92,22.999994,0
180689.92,22.999994,0
180900,23.444513,0
181800,23.411127,0
182700,22.667963,0
183600,22.060205,0
184500,21.65359,0
185400,21.394922,0
186300,21.23144,0
187200,21.126825,0
188100,21.058283,0
189000,21.011957,0
189297.67,20.999994,0
189297.67,20.999994,0
189900,21.815882,0
190328.64,22.999994,0
190328.64,22.999994,0
190800,23.649683,0
191700,23.199762,0
192600,22.467402,0
193500,21.920313,0
194400,21.562128,0
195300,21.335047,0
196200,21.190912,0
197100,21.097803,0
198000,21.036036,0
198742.16,20.999994,0
198742.16,20.999994,0
198900,21.057306,0
199773.9,22.999994,0
199773.9,22.999994,0
199800,23.073572,0
200700,23.533106,0
201600,22.809198,0
202500,22.156794,0
203400,21.710596,0
204300,21.42489,0
205200,21.243952,0
206100,21.128138,0
207000,21.05224,0
207900,21.00094,0
207920.1,20.999994,0
207920.1,20.999994,0
208800,22.556879,0
208952.77,22.999994,0
208952.77,22.999994,0
209700,23.620234,0
210600,22.953424,0
211500,22.261164,0
212400,21.774744,0
213300,21.461176,0
214200,21.262781,0
215100,21.136347,0
216000,21.054132,0
216881.92,20.999994,0
216881.92,20.999994,0
216900,20.999842,0
217800,22.66485,0
217915.22,22.999994,0
217915.22,22.999994,0
218700,23.602625,0
219600,22.917292,0
220500,22.231592,0
221400,21.753138,0
222300,21.445398,0
223200,21.250818,0
224100,21.126825,0
225000,21.046137,0
225745.25,20.999994,0
225745.25,20.999994,0
225900,21.053888,0
226778.89,22.999994,0
226778.89,22.999994,0
226800,23.05984,0
227700,23.528437,0
228600,22.799677,0
229500,22.142694,0
230400,21.693537,0
231300,21.406122,0
232200,21.224329,0
233100,21.10818,0
234000,21.032282,0
234527.58,20.999994,0
234527.58,20.999994,0
234900,21.326532,0
235561.6,22.999994,0
235561.6,22.999994,0
235800,23.47915,0
236700,23.373438,0
237600,22.619867,0
238500,22.01269,0
239400,21.607782,0
240300,21.350214,0
241200,21.18719,0
242100,21.082514,0
243000,21.013697,0
243230.83,20.999994,0
243230.83,20.999994,0
243900,21.977777,0
244265.19,22.999994,0
244265.19,22.999994,0
244800,23.653101,0
245700,23.125757,0
246600,22.393183,0
247500,21.856043,0
248400,21.506128,0
249300,21.28457,0
250200,21.143885,0
251100,21.052942,0
251868.11,20.999994,0
251868.11,20.999994,0
252000,21.037653,0
252900,22.991846,0
252902.78,22.999994,0
252902.78,22.999994,0
253800,23.538996,0
254700,22.812738,0
255600,22.148493,0
256500,21.693048,0
257400,21.401453,0
258300,21.217096,0
259200,21.099329,0
260100,21.022455,0
260449.92,20.999994,0
260449.92,20.999994,0
261000,21.685999,0
261484.86,22.999994,0
261484.86,22.999994,0
261900,23.622278,0
262800,23.224817,0
263700,22.476618,0
264600,21.910303,0
265500,21.538416,0
266400,21.302668,0
267300,21.153193,0
268200,21.056879,0
268984.7,20.999994,0
268984.7,20.999994,0
269100,21.027704,0
270000,22.94198,0
270019.88,22.999994,0
270019.88,22.999994,0
270900,23.547174,0
271800,22.823847,0
272700,22.154871,0
273600,21.695154,0
274500,21.400599,0
275400,21.21435,0
276300,21.095362,0
277200,21.017694,0
277468.2,20.999994,0
277468.2,20.999994,0
278100,21.88125,0
278503.66,22.999994,0
278503.66,22.999994,0
279000,23.646173,0
279900,23.152674,0
280800,22.412317,0
281700,21.864527,0
282600,21.50686,0
283500,21.28036,0
284400,21.136621,0
285300,21.043848,0
285903.12,20.999994,0
285903.12,20.999994,0
286200,21.206293,0
286938.84,22.999994,0
286938.84,22.999994,0
287100,23.365503,0
288000,23.424677,0
288900,22.669977,0
289800,22.041864,0
290700,21.619959,0
291600,21.351282,0
292500,21.181452,0
293400,21.072748,0
294300,21.001612,0
294325.1,20.999994,0
294325.1,20.999994,0
295200,22.535517,0
295360.72,22.999994,0
295360.72,22.999994,0
296100,23.614038,0
297000,22.941614,0
297900,22.242273,0
298800,21.751184,0
299700,21.435022,0
300600,21.235346,0
301500,21.108362,0
302400,21.026056,0
302784.22,20.999994,0
302784.22,20.999994,0
303300,21.608118,0
303819.6,22.999994,0
303819.6,22.999994,0
304200,23.603876,0
305100,23.251825,0
306000,22.499933,0
